OG0001902	Solyc04g009920.3.1	ANN25522-RA
OG0001902	Solyc05g055040.3.1	ANN22202-RA
OG0001903	Solyc04g010070.4.1	ANN25536-RA
OG0001903	Solyc05g054980.3.1	ANN22197-RA
OG0001904	Solyc05g054545.1.1	ANN22164-RA
OG0001904	Solyc04g011430.3.1	ANN25571-RA
OG0001905	Solyc04g011480.3.1, Solyc04g011490.4.1	ANN25576-RA
OG0001906	Solyc04g011510.4.1	ANN25578-RA
OG0001906	Solyc06g005490.3.1	ANN16734-RA, ANN16727-RA
OG0001907	Solyc04g051350.3.1	ANN26747-RA
OG0001907	Solyc04g012060.3.1	ANN25611-RA
OG0001908	Solyc04g014430.2.1	ANN25650-RA
OG0001908	Solyc11g011320.1.1, Solyc05g051350.2.1	ANN21911-RA
OG0001909	Solyc12g038840.2.1, Solyc04g014690.3.1	ANN39232-RA
OG0001909	Solyc11g012050.1.1	ANN38861-RA
OG0001910	Solyc04g016050.3.1	ANN25701-RA
OG0001911	Solyc04g017945.1.1, Solyc04g017873.1.1, Solyc04g017925.1.1, Solyc04g018005.1.1, Solyc04g018040.1.1	ANN25749-RA
OG0001912	Solyc04g018160.1.1, Solyc04g018210.1.1	ANN21593-RA, ANN36423-RA, ANN05877-RA
OG0001913	Solyc04g028470.2.1, Solyc04g024840.3.1	ANN39431-RA, ANN32187-RA, ANN26038-RA
OG0001914	Solyc06g071650.3.1, Solyc05g013340.3.1, Solyc04g026380.4.1	ANN18832-RA
OG0001916	Solyc04g025880.4.1	ANN25930-RA
OG0001916	Solyc05g005740.3.1	ANN19511-RA
OG0001917	Solyc05g005870.3.1	ANN19520-RA
OG0001917	Solyc04g025750.3.1, Solyc04g025780.1.1	ANN25974-RA
OG0001919	Solyc11g012850.2.1	ANN32522-RA
OG0001919	Solyc06g060310.3.1	ANN18207-RA
OG0001920	Solyc10g061955.1.1, Solyc11g042920.3.1, Solyc04g024880.3.1	ANN15453-RA, ANN26122-RA
OG0001922	Solyc04g049890.4.1	ANN26459-RA
OG0001924	Solyc04g054528.1.1	ANN06035-RA
OG0001925	Solyc04g058150.3.1	ANN26970-RA
OG0001925	Solyc04g058100.3.1	ANN26967-RA
OG0001926	Solyc04g063290.3.1	ANN26979-RA
OG0001926	Solyc04g074300.3.1	ANN27274-RA
OG0001927	Solyc04g071350.3.1	ANN27084-RA
OG0001927	Solyc12g056520.3.1	ANN33557-RA
OG0001928	Solyc04g071660.3.1	ANN27108-RA
OG0001929	Solyc04g072435.1.1, Solyc04g150167.1.1	ANN21333-RA, ANN21330-RA, ANN21332-RA, ANN27473-RA
OG0001930	Solyc04g072640.3.1	ANN27209-RA
OG0001930	Solyc12g056900.2.1	ANN33525-RA
OG0001931	Solyc04g074360.3.1, Solyc04g074390.3.1, Solyc04g074380.4.1	ANN27052-RA
OG0001932	Solyc04g076740.3.1	ANN27392-RA
OG0001932	Solyc05g054720.3.1	ANN22179-RA
OG0001933	Solyc04g076780.4.1	ANN27396-RA
OG0001933	Solyc04g076760.2.1	ANN27394-RA
OG0001934	Solyc04g076880.3.1, Solyc12g088160.3.1	ANN33478-RA
OG0001935	Solyc04g077390.3.1, Solyc04g077370.2.1	ANN27446-RA
OG0001936	Solyc04g077620.1.1	ANN37071-RA, ANN37076-RA, ANN27468-RA, ANN37796-RA, ANN37907-RA
OG0001937	Solyc04g078730.1.1, Solyc04g078720.1.1, Solyc04g078710.3.1	ANN27542-RA
OG0001938	Solyc04g080050.4.1	ANN27636-RA
OG0001938	Solyc07g022830.3.1	ANN15605-RA
OG0001939	Solyc04g081140.1.1, Solyc04g081120.1.1, Solyc04g081110.1.1, Solyc04g081130.1.1	ANN27714-RA
OG0001940	Solyc04g082120.3.1	ANN27772-RA
OG0001940	Solyc08g022070.3.1	ANN29426-RA
OG0001942	Solyc05g005590.4.1	ANN19500-RA
OG0001943	Solyc08g074550.3.1	ANN28600-RA
OG0001943	Solyc07g064750.1.1, Solyc05g005800.4.1	ANN19516-RA
OG0001944	Solyc05g006750.3.1	ANN19594-RA
OG0001944	Solyc05g026210.2.1	ANN21192-RA
OG0001944	Solyc05g026213.1.1	ANN19593-RA
OG0001945	Solyc05g010180.4.1, Solyc07g021640.2.1, Solyc05g010200.2.1, Solyc08g005940.1.1	ANN19899-RA
OG0001946	Solyc05g010710.3.1, Solyc05g010685.1.1	ANN19937-RA
OG0001947	Solyc05g012640.3.1	ANN20033-RA
OG0001947	Solyc05g012650.4.1	ANN20034-RA
OG0001948	Solyc12g019320.2.1	ANN20107-RA
OG0001948	Solyc05g013460.4.1	ANN20106-RA
OG0001950	Solyc05g025620.3.1, Solyc05g014100.3.1	ANN39590-RA, ANN39573-RA
OG0001951	Solyc05g015030.3.1, Solyc09g060150.3.1, Solyc08g062507.1.1, Solyc09g058997.1.1	ANN32255-RA
OG0001952	Solyc05g015920.3.1, Solyc05g015930.4.1	ANN20391-RA
OG0001953	Solyc07g040720.3.1	ANN15704-RA
OG0001953	Solyc05g016410.3.1	ANN20471-RA
OG0001954	Solyc07g045190.3.1, Solyc05g018760.3.1, Solyc12g006230.3.1	ANN14763-RA
OG0001957	Solyc05g024070.1.1	ANN21504-RA, ANN21534-RA
OG0001957	Solyc05g024090.1.1, Solyc05g051157.1.1	ANN21499-RA, ANN21496-RA
OG0001958	Solyc12g005270.2.1	ANN34982-RA
OG0001958	Solyc05g150134.1.1	ANN25070-RA
OG0001959	Solyc05g026140.4.1	ANN21178-RA
OG0001960	Solyc12g008630.2.1, Solyc05g026150.1.1, Solyc05g150135.1.1	ANN34817-RA
OG0001961	Solyc05g032680.4.1	ANN29666-RA
OG0001962	Solyc05g041970.1.1	ANN20898-RA
OG0001962	Solyc08g061275.1.1	ANN14929-RA, ANN18175-RA
OG0001963	Solyc05g044450.1.1	ANN21659-RA
OG0001963	Solyc05g043440.1.1	ANN21662-RA
OG0001964	Solyc07g052650.2.1	ANN14553-RA
OG0001964	Solyc05g046110.4.1	ANN21693-RA
OG0001965	Solyc10g011810.4.1, Solyc10g011820.4.1, Solyc05g050090.4.1	ANN24861-RA
OG0001966	Solyc05g050130.4.1	ANN21826-RA
OG0001967	Solyc05g050880.2.1, Solyc05g050870.4.1, Solyc05g050890.3.1	ANN21879-RA
OG0001968	Solyc05g051530.4.1	ANN37878-RA
OG0001968	Solyc05g051540.3.1	ANN37888-RA, ANN39371-RA
OG0001969	Solyc05g052110.3.1	ANN21976-RA
OG0001969	Solyc05g052120.4.1	ANN21977-RA
OG0001970	Solyc06g050770.3.1	ANN17913-RA
OG0001970	Solyc06g050220.4.1, Solyc05g052310.3.1	ANN21996-RA
OG0001971	Solyc05g052680.1.1, Solyc05g052650.2.1, Solyc05g052670.1.1	ANN22022-RA
OG0001972	Solyc09g091020.3.1	ANN08015-RA
OG0001972	Solyc05g053130.3.1	ANN22054-RA
OG0001973	Solyc11g008510.3.1	ANN32767-RA
OG0001974	Solyc06g084210.3.1	ANN19407-RA
OG0001974	Solyc05g055690.3.1	ANN22247-RA
OG0001975	Solyc06g005020.3.1, Solyc06g005010.1.1, Solyc11g072450.2.1	ANN30587-RA
OG0001976	Solyc06g007200.4.1	ANN16780-RA
OG0001976	Solyc06g082090.4.1	ANN19249-RA
OG0001977	Solyc06g008810.3.1, Solyc06g008780.3.1, Solyc06g007840.2.1, Solyc06g008460.3.1, Solyc06g008440.1.1	ANN16877-RA
OG0001978	Solyc06g083440.3.1, Solyc06g007930.3.1, Solyc09g061230.3.1	ANN19347-RA
OG0001979	Solyc06g007980.4.1, Solyc09g061860.4.1	ANN08798-RA
OG0001980	Solyc06g008040.3.1	ANN37048-RA, ANN37052-RA
OG0001980	Solyc09g063030.4.1	ANN08778-RA
OG0001981	Solyc09g066460.4.1	ANN08535-RA
OG0001981	Solyc06g008330.2.1	ANN16838-RA
OG0001982	Solyc06g008667.1.1	ANN16857-RA
OG0001982	Solyc06g008660.3.1	ANN16858-RA
OG0001983	Solyc06g009020.2.1	ANN16903-RA
OG0001983	Solyc06g009040.4.1	ANN16904-RA
OG0001984	Solyc06g010040.3.1	ANN28974-RA
OG0001984	Solyc12g042485.1.1	ANN06727-RA, ANN17659-RA, ANN00229-RA
OG0001985	Solyc06g010120.1.1	ANN32580-RA, ANN36658-RA, ANN36661-RA, ANN01994-RA, ANN03982-RA
OG0001986	Solyc11g008180.1.1, Solyc06g011590.3.1, Solyc11g008190.1.1, Solyc11g066330.2.1	ANN30933-RA
OG0001987	Solyc08g043170.4.1	ANN29945-RA
OG0001987	Solyc06g019170.3.1	ANN17393-RA
OG0001988	Solyc06g033930.1.1	ANN20493-RA, ANN06028-RA, ANN35087-RA, ANN31723-RA, ANN17718-RA
OG0001989	Solyc06g035620.3.1	ANN29419-RA
OG0001989	Solyc12g005340.3.1	ANN17642-RA
OG0001990	Solyc06g043340.1.1	ANN16869-RA, ANN23625-RA, ANN32009-RA, ANN39637-RA, ANN06108-RA, ANN23635-RA
OG0001992	Solyc06g053400.3.1	ANN18070-RA
OG0001992	Solyc08g014130.3.1	ANN30476-RA
OG0001993	Solyc06g054020.3.1	ANN18114-RA
OG0001993	Solyc06g054050.3.1	ANN18116-RA
OG0001994	Solyc06g054120.2.1, Solyc06g054110.3.1	ANN18119-RA
OG0001995	Solyc06g060190.3.1, Solyc06g150121.1.1	ANN18336-RA
OG0001996	Solyc06g061150.3.1	ANN18280-RA
OG0001996	Solyc08g006960.3.1	ANN30449-RA
OG0001997	Solyc06g062850.3.1	ANN18370-RA
OG0001997	Solyc12g096040.3.1	ANN33324-RA
OG0001998	Solyc06g064550.3.1	ANN18424-RA
OG0001998	Solyc11g040390.2.1	ANN31355-RA
OG0001999	Solyc12g006820.1.1, Solyc08g067410.2.1, Solyc06g065560.2.1	ANN34881-RA
OG0002000	Solyc06g065730.3.1	ANN18501-RA
OG0002000	Solyc08g029130.3.1	ANN29167-RA
OG0002001	Solyc06g065830.3.1, Solyc07g007030.1.1, Solyc12g010390.2.1	ANN18506-RA
OG0002002	Solyc06g065980.3.1, Solyc06g066100.3.1	ANN18521-RA, ANN18514-RA
OG0002003	Solyc06g066060.3.1, Solyc08g061000.4.1	ANN29260-RA
OG0002004	Solyc06g072230.1.1	ANN18876-RA
OG0002004	Solyc06g072220.1.1	ANN18875-RA
OG0002005	Solyc06g072900.4.1	ANN28539-RA
OG0002005	Solyc12g096150.2.1	ANN33314-RA
OG0002006	Solyc06g074960.4.1	ANN19106-RA
OG0002006	Solyc11g069710.2.1	ANN30709-RA
OG0002007	Solyc11g072800.3.1	ANN30555-RA
OG0002007	Solyc06g075570.2.1	ANN19143-RA
OG0002008	Solyc11g073030.1.1	ANN30537-RA
OG0002008	Solyc06g075630.4.1	ANN19146-RA
OG0002009	Solyc06g076200.2.1, Solyc06g076210.3.1	ANN17669-RA, ANN17670-RA
OG0002010	Solyc06g082240.2.1, Solyc06g082260.4.1, Solyc11g065970.3.1	ANN19266-RA
OG0002011	Solyc09g065810.3.1	ANN08600-RA
OG0002011	Solyc06g084080.4.1	ANN19399-RA
OG0002012	Solyc06g084110.1.1, Solyc06g084120.4.1	ANN19401-RA
OG0002013	Solyc06g084400.3.1	ANN31358-RA, ANN31478-RA, ANN31475-RA, ANN31357-RA, ANN19420-RA
OG0002014	Solyc07g005210.3.1, Solyc12g010320.2.1	ANN36657-RA, ANN36672-RA
OG0002015	Solyc07g005810.3.1	ANN16616-RA
OG0002015	Solyc12g009960.2.1	ANN34727-RA
OG0002016	Solyc07g007500.3.1	ANN16507-RA
OG0002016	Solyc12g009860.3.1	ANN36573-RA, ANN38261-RA
OG0002017	Solyc07g007940.3.1	ANN16476-RA
OG0002020	Solyc07g014640.3.1, Solyc09g031890.3.1, Solyc09g031880.3.1	ANN16376-RA
OG0002021	Solyc07g016170.4.1	ANN16340-RA
OG0002021	Solyc08g069231.1.1	ANN28635-RA
OG0002022	Solyc10g009150.3.1	ANN24912-RA
OG0002022	Solyc07g016215.1.1	ANN16337-RA
OG0002023	Solyc10g019223.1.1	ANN20767-RA, ANN14882-RA
OG0002023	Solyc07g018005.1.1	ANN17020-RA
OG0002024	Solyc07g018210.3.1, Solyc07g018220.3.1	ANN16108-RA
OG0002025	Solyc12g062480.3.1, Solyc07g021120.3.1	ANN16014-RA
OG0002026	Solyc10g150134.1.1	ANN23105-RA
OG0002026	Solyc07g022815.1.1, Solyc10g052718.1.1, Solyc10g052843.1.1, Solyc10g052847.1.1	ANN17536-RA
OG0002027	Solyc07g037910.3.1, Solyc07g037920.3.1, Solyc07g026560.3.1, Solyc07g150129.1.1, Solyc07g026570.1.1	ANN15460-RA
OG0002028	Solyc07g032220.3.1	ANN29361-RA, ANN23709-RA, ANN20252-RA, ANN09995-RA, ANN15170-RA
OG0002029	Solyc07g039470.1.1	ANN17855-RA, ANN23218-RA, ANN35792-RA, ANN13220-RA, ANN02332-RA
OG0002030	Solyc07g041150.4.1	ANN15020-RA
OG0002030	Solyc11g006220.2.1	ANN16871-RA
OG0002031	Solyc07g041280.4.1	ANN15015-RA
OG0002031	Solyc08g062190.3.1	ANN37019-RA, ANN37033-RA
OG0002032	Solyc12g009245.1.1, Solyc12g009250.3.1, Solyc07g042250.3.1	ANN34768-RA
OG0002033	Solyc09g098440.4.1	ANN07821-RA
OG0002033	Solyc07g049710.3.1	ANN14632-RA
OG0002034	Solyc07g051960.3.1, Solyc07g052010.3.1, Solyc07g051970.3.1, Solyc07g051980.3.1	ANN14610-RA
OG0002035	Solyc07g052730.3.1	ANN14549-RA
OG0002035	Solyc07g052840.1.1	ANN14541-RA
OG0002036	Solyc07g053240.3.1, Solyc07g053230.3.1, Solyc07g055000.2.1	ANN14368-RA
OG0002037	Solyc07g053650.4.1	ANN14457-RA
OG0002037	Solyc10g008180.2.1	ANN24983-RA
OG0002038	Solyc07g053920.3.1	ANN38656-RA, ANN37846-RA
OG0002038	Solyc10g008300.3.1	ANN24976-RA
OG0002039	Solyc07g054860.1.1	ANN14502-RA
OG0002039	Solyc07g054280.1.1	ANN14411-RA
OG0002040	Solyc08g068530.4.1, Solyc07g054620.4.1, Solyc08g068510.2.1, Solyc07g054600.3.1	ANN14380-RA
OG0002041	Solyc07g054760.1.1	ANN38755-RA, ANN38478-RA
OG0002041	Solyc07g054800.1.1	ANN39302-RA
OG0002042	Solyc07g055840.3.1	ANN14317-RA
OG0002042	Solyc12g011000.2.1	ANN34662-RA
OG0002043	Solyc12g011120.3.1	ANN34654-RA
OG0002043	Solyc07g056140.3.1	ANN37590-RA
OG0002044	Solyc07g056180.2.1, Solyc07g056200.3.1, Solyc07g056190.3.1	ANN14285-RA
OG0002045	Solyc07g063800.2.1, Solyc07g063780.2.1, Solyc07g063810.2.1, Solyc12g005290.2.1	ANN14078-RA
OG0002046	Solyc11g005670.2.1, Solyc07g064130.2.1, Solyc10g006480.2.1	ANN32939-RA
OG0002047	Solyc07g064420.3.1, Solyc07g064440.3.1	ANN14018-RA
OG0002048	Solyc07g065050.4.1	ANN13959-RA
OG0002048	Solyc12g014560.3.1	ANN34533-RA
OG0002049	Solyc07g066210.3.1	ANN13871-RA
OG0002049	Solyc10g005690.3.1	ANN25174-RA
OG0002050	Solyc08g005635.1.1	ANN30389-RA
OG0002050	Solyc08g005677.1.1, Solyc08g005670.2.1, Solyc08g005640.4.1	ANN30391-RA
OG0002051	Solyc08g074240.3.1, Solyc12g096300.2.1, Solyc08g006040.3.1	ANN28632-RA
OG0002052	Solyc08g077210.4.1	ANN28321-RA
OG0002052	Solyc08g007080.4.1	ANN30303-RA
OG0002053	Solyc11g006110.1.1, Solyc08g008450.3.1, Solyc08g008453.1.1	ANN32910-RA
OG0002053	Solyc11g006100.1.1	ANN32911-RA
OG0002054	Solyc08g015717.1.1, Solyc08g015713.1.1, Solyc08g015715.1.1, Solyc08g015710.2.1	ANN30159-RA
OG0002055	Solyc08g015780.3.1	ANN30147-RA
OG0002055	Solyc12g017540.2.1	ANN34465-RA
OG0002056	Solyc08g041720.1.1	ANN40037-RA
OG0002057	Solyc12g009695.1.1, Solyc12g009710.1.1, Solyc12g009760.1.1, Solyc08g021940.3.1	ANN34737-RA
OG0002058	Solyc08g029342.1.1	ANN29114-RA, ANN29199-RA, ANN24184-RA, ANN02398-RA, ANN29180-RA
OG0002059	Solyc08g059770.1.1	ANN29230-RA
OG0002059	Solyc08g060870.1.1	ANN29243-RA
OG0002060	Solyc08g061380.1.1	ANN26380-RA
OG0002061	Solyc08g061650.4.1	ANN14977-RA, ANN38444-RA
OG0002062	Solyc08g061830.1.1	ANN29027-RA
OG0002062	Solyc08g068810.3.1	ANN29019-RA, ANN29026-RA, ANN28667-RA
OG0002063	Solyc08g061905.1.1	ANN02297-RA, ANN16439-RA, ANN26857-RA, ANN16294-RA, ANN38739-RA, ANN38812-RA
OG0002064	Solyc08g062540.1.1	ANN29838-RA, ANN03344-RA, ANN36411-RA, ANN09402-RA, ANN39511-RA
OG0002065	Solyc11g069950.2.1	ANN30516-RA
OG0002065	Solyc08g063050.3.1	ANN28943-RA
OG0002066	Solyc08g065610.3.1	ANN28881-RA
OG0002066	Solyc12g095910.2.1	ANN33335-RA
OG0002067	Solyc08g066300.3.1, Solyc08g066270.3.1, Solyc08g066320.4.1	ANN40128-RA
OG0002068	Solyc08g066720.3.1	ANN28775-RA
OG0002068	Solyc11g071223.1.1	ANN30682-RA
OG0002069	Solyc08g068380.3.1	ANN28683-RA, ANN31362-RA, ANN38250-RA
OG0002070	Solyc12g096370.2.1	ANN33297-RA
OG0002070	Solyc08g069100.1.1	ANN28645-RA
OG0002071	Solyc08g075810.3.1	ANN28448-RA
OG0002071	Solyc08g075800.1.1	ANN28449-RA
OG0002072	Solyc08g076970.3.1, Solyc08g076980.4.1, Solyc08g076990.3.1	ANN28338-RA
OG0002073	Solyc08g079970.2.1, Solyc08g079960.1.1, Solyc08g079980.1.1, Solyc08g079950.1.1	ANN28122-RA
OG0002074	Solyc12g056180.3.1, Solyc08g081535.1.1, Solyc08g081550.4.1	ANN33585-RA
OG0002075	Solyc08g082520.1.1	ANN27922-RA
OG0002075	Solyc08g082485.1.1, Solyc08g082510.1.1	ANN27924-RA
OG0002078	Solyc10g086010.2.1, Solyc10g084350.2.1, Solyc09g007250.4.1	ANN22372-RA
OG0002079	Solyc09g007580.3.1, Solyc09g042677.1.1	ANN10815-RA, ANN10342-RA
OG0002080	Solyc09g009020.3.1	ANN36517-RA, ANN10720-RA
OG0002080	Solyc10g085550.3.1	ANN22399-RA
OG0002081	Solyc09g009670.3.1, Solyc09g009660.3.1	ANN10673-RA
OG0002082	Solyc09g010000.4.1, Solyc09g010040.3.1, Solyc09g010010.1.1	ANN08111-RA, ANN10938-RA
OG0002083	Solyc09g011060.2.1	ANN10579-RA
OG0002083	Solyc09g011990.1.1, Solyc09g012000.1.1	ANN10518-RA
OG0002084	Solyc09g011660.3.1, Solyc10g086670.2.1, Solyc09g011670.4.1	ANN10965-RA
OG0002085	Solyc10g076760.3.1	ANN22855-RA
OG0002085	Solyc09g014470.2.1	ANN10486-RA
OG0002086	Solyc09g015210.1.1	ANN10385-RA
OG0002086	Solyc09g015230.1.1, Solyc09g015240.1.1	ANN10384-RA
OG0002087	Solyc09g018220.3.1, Solyc09g092300.3.1, Solyc09g092310.1.1, Solyc09g092280.1.1, Solyc09g092290.1.1	ANN10097-RA
OG0002088	Solyc10g049990.1.1	ANN23457-RA
OG0002088	Solyc09g018620.1.1	ANN23347-RA
OG0002089	Solyc09g042260.3.1	ANN10185-RA
OG0002089	Solyc10g075040.3.1	ANN22915-RA
OG0002090	Solyc09g057910.3.1	ANN09849-RA
OG0002090	Solyc09g057920.3.1	ANN09847-RA, ANN31339-RA, ANN16375-RA
OG0002091	Solyc09g059040.3.1	ANN09425-RA
OG0002091	Solyc09g059020.4.1	ANN09423-RA
OG0002092	Solyc09g064330.2.1	ANN08752-RA
OG0002092	Solyc09g064350.1.1	ANN08751-RA
OG0002093	Solyc09g074690.3.1, Solyc09g074710.2.1, Solyc09g074700.2.1, Solyc09g074730.3.1	ANN08476-RA
OG0002094	Solyc09g075090.1.1	ANN08352-RA
OG0002095	Solyc09g082470.4.1	ANN08213-RA
OG0002095	Solyc10g045270.2.1	ANN24162-RA
OG0002096	Solyc09g082480.2.1	ANN08212-RA
OG0002097	Solyc09g090500.3.1	ANN07796-RA, ANN08058-RA
OG0002098	Solyc09g092060.3.1	ANN07932-RA, ANN28455-RA, ANN07941-RA, ANN07933-RA, ANN07917-RA, ANN07928-RA
OG0002099	Solyc12g017350.2.1	ANN38467-RA, ANN38466-RA
OG0002099	Solyc10g005500.3.1	ANN25140-RA
OG0002100	Solyc10g007900.4.1, Solyc10g007930.4.1, Solyc10g051020.2.1, Solyc10g007890.4.1	ANN24999-RA
OG0002101	Solyc10g017680.1.1	ANN24608-RA, ANN24607-RA
OG0002102	Solyc10g012340.1.1, Solyc10g054370.1.1	ANN24833-RA
OG0002102	Solyc10g012350.3.1	ANN24828-RA
OG0002103	Solyc10g061883.1.1	ANN23658-RA, ANN23652-RA, ANN23648-RA, ANN23663-RA, ANN18128-RA
OG0002104	Solyc10g044440.2.1	ANN13681-RA, ANN05220-RA, ANN10327-RA, ANN03224-RA, ANN03223-RA
OG0002105	Solyc10g045030.1.1	ANN23929-RA
OG0002105	Solyc10g048140.2.1	ANN23476-RA
OG0002107	Solyc10g150120.1.1	ANN24245-RA, ANN33779-RA, ANN24036-RA, ANN24257-RA, ANN24039-RA, ANN24037-RA
OG0002108	Solyc10g048120.3.1	ANN23927-RA, ANN23799-RA
OG0002108	Solyc10g048070.2.1	ANN23910-RA
OG0002109	Solyc10g049913.1.1, Solyc10g049970.2.1, Solyc10g049910.2.1	ANN02487-RA
OG0002110	Solyc10g054410.1.1	ANN37562-RA
OG0002110	Solyc11g042910.1.1	ANN15550-RA, ANN02217-RA, ANN38140-RA, ANN37336-RA
OG0002111	Solyc10g079040.3.1	ANN22761-RA
OG0002111	Solyc10g079060.2.1	ANN22759-RA
OG0002112	Solyc10g079370.3.1	ANN22677-RA
OG0002113	Solyc10g087040.3.1	ANN22565-RA
OG0002113	Solyc10g150143.1.1	ANN22566-RA
OG0002114	Solyc10g083700.4.1	ANN22462-RA
OG0002115	Solyc11g005860.2.1, Solyc11g005830.2.1, Solyc11g005840.2.1	ANN32930-RA
OG0002116	Solyc11g007170.2.1, Solyc11g067230.2.1, Solyc11g067240.2.1	ANN32851-RA
OG0002117	Solyc11g007210.3.1	ANN32847-RA, ANN39321-RA, ANN39211-RA
OG0002117	Solyc11g007220.2.1	ANN32848-RA
OG0002118	Solyc11g018740.3.1	ANN32398-RA
OG0002118	Solyc11g013080.3.1	ANN32498-RA
OG0002119	Solyc11g013560.1.1	ANN40083-RA
OG0002119	Solyc11g013660.1.1, Solyc11g013620.1.1	ANN39378-RA
OG0002120	Solyc11g017340.1.1, Solyc11g017320.3.1, Solyc11g017310.3.1, Solyc11g017330.1.1, Solyc11g017370.3.1	ANN32441-RA
OG0002121	Solyc11g017345.1.1	ANN24757-RA
OG0002122	Solyc11g020990.3.1	ANN39131-RA
OG0002122	Solyc11g021020.1.1	ANN28814-RA
OG0002123	Solyc11g045450.3.1	ANN38675-RA, ANN38694-RA, ANN31180-RA, ANN31090-RA, ANN31174-RA
OG0002124	Solyc11g045390.3.1, Solyc11g045370.1.1	ANN31181-RA
OG0002125	Solyc11g045336.1.1	ANN31185-RA
OG0002125	Solyc11g045320.1.1, Solyc11g045334.1.1	ANN37849-RA, ANN37877-RA
OG0002126	Solyc12g099040.2.1	ANN31854-RA
OG0002126	Solyc11g064775.1.1, Solyc11g072350.1.1, Solyc11g043030.1.1, Solyc11g043070.3.1	ANN17807-RA
OG0002127	Solyc11g043040.1.1, Solyc11g064750.3.1	ANN31062-RA
OG0002127	Solyc11g043020.1.1	ANN31505-RA
OG0002128	Solyc11g042877.1.1	ANN29813-RA, ANN36268-RA, ANN09191-RA, ANN09229-RA
OG0002129	Solyc12g099740.2.1	ANN33105-RA
OG0002129	Solyc11g065120.3.1	ANN31023-RA
OG0002130	Solyc11g066660.3.1	ANN30902-RA
OG0002131	Solyc11g067290.1.1, Solyc11g067330.1.1, Solyc11g067347.1.1, Solyc11g067340.1.1	ANN30854-RA
OG0002132	Solyc11g070187.1.1, Solyc11g070175.1.1	ANN30510-RA
OG0002133	Solyc12g008750.3.1	ANN34807-RA
OG0002134	Solyc12g009120.2.1	ANN38752-RA, ANN34781-RA, ANN00846-RA, ANN18380-RA
OG0002136	Solyc12g017630.2.1	ANN34220-RA
OG0002137	Solyc12g017780.2.1	ANN34446-RA
OG0002138	Solyc12g019200.2.1	ANN34339-RA, ANN34340-RA
OG0002138	Solyc12g019190.1.1	ANN36760-RA, ANN36745-RA, ANN34342-RA
OG0002139	Solyc12g062250.2.1	ANN36269-RA
OG0002139	Solyc12g062260.2.1	ANN36265-RA
OG0002140	Solyc12g043110.2.1	ANN33884-RA
OG0002140	Solyc12g043120.2.1	ANN29709-RA, ANN33882-RA
OG0002141	Solyc12g044790.1.1, Solyc12g044780.2.1, Solyc12g044775.1.1	ANN33732-RA
OG0002142	Solyc12g094560.2.1	ANN37625-RA, ANN08967-RA, ANN37507-RA, ANN33368-RA
OG0002143	Solyc12g098260.1.1, Solyc12g098240.1.1, Solyc12g098300.1.1, Solyc12g098270.1.1	ANN33224-RA
OG0002244	Solyc00g164580.1.1	ANN05310-RA, ANN35248-RA, ANN39768-RA, ANN39884-RA, ANN35254-RA
OG0002245	Solyc02g092280.1.1, Solyc00g500103.1.1, Solyc00g500228.1.1	ANN27362-RA
OG0002246	Solyc02g083210.2.1	ANN37804-RA
OG0002246	Solyc00g069880.2.1	ANN36612-RA, ANN36993-RA
OG0002247	Solyc03g063510.1.1	ANN36497-RA
OG0002247	Solyc00g500316.1.1, Solyc00g244290.1.1	ANN39248-RA
OG0002249	Solyc00g500303.1.1, Solyc03g013460.1.1, Solyc00g019730.1.1	ANN05573-RA
OG0002250	Solyc04g079380.1.1, Solyc09g061610.1.1, Solyc09g050030.1.1, Solyc00g500363.1.1	ANN27589-RA
OG0002251	Solyc01g005210.4.1	ANN04448-RA
OG0002251	Solyc08g076650.3.1	ANN28368-RA
OG0002252	Solyc11g011930.3.1	ANN32591-RA
OG0002252	Solyc01g005560.3.1	ANN04429-RA
OG0002253	Solyc01g022740.3.1	ANN03427-RA
OG0002253	Solyc01g005970.3.1	ANN04401-RA
OG0002254	Solyc01g006000.3.1	ANN04400-RA
OG0002255	Solyc01g006120.4.1	ANN04393-RA
OG0002255	Solyc12g100310.2.1	ANN33063-RA
OG0002256	Solyc01g006300.3.1	ANN04381-RA
OG0002256	Solyc01g006290.4.1	ANN04382-RA
OG0002257	Solyc01g006350.4.1, Solyc03g111570.4.1	ANN06894-RA
OG0002258	Solyc01g006490.4.1	ANN04376-RA
OG0002258	Solyc12g100200.2.1	ANN33072-RA
OG0002259	Solyc10g081850.3.1	ANN22510-RA
OG0002259	Solyc01g006950.3.1	ANN04347-RA
OG0002260	Solyc10g081920.2.1	ANN22507-RA
OG0002260	Solyc01g007150.3.1	ANN04333-RA
OG0002261	Solyc01g007160.4.1	ANN04332-RA
OG0002261	Solyc01g110330.3.1	ANN00178-RA
OG0002262	Solyc01g007220.4.1	ANN04327-RA
OG0002262	Solyc10g150145.1.1	ANN22505-RA
OG0002263	Solyc10g082020.2.1, Solyc01g007263.1.1	ANN04323-RA
OG0002264	Solyc10g082040.2.1	ANN22500-RA
OG0002264	Solyc01g007780.4.1	ANN04317-RA
OG0002265	Solyc10g083120.3.1	ANN22496-RA
OG0002265	Solyc01g007860.3.1	ANN04312-RA
OG0002266	Solyc01g007900.4.1	ANN04308-RA
OG0002266	Solyc04g008540.3.1	ANN25398-RA
