target_id	functional_annotation
Solyc02g079050	Anaphase promoting complex subunit 4 
Solyc02g079060	Eukaryotic translation initiation factor 3 subunit J 
Solyc02g079070	Myosin-like protein 
Solyc02g079080	F-box family protein 
Solyc02g079090	F-box family protein 
Solyc02g079100	Riboflavin kinase 
Solyc02g079110	WD repeat-containing protein 
Solyc02g079120	F-box family protein 
Solyc02g079130	Protein translocase subunit secA 
Solyc02g079140	Heterogeneous nuclear ribonucleoprotein U-like protein 1 
Solyc02g079150	F-box family protein 
Solyc02g079160	Unknown Protein 
Solyc02g079170	NADH dehydrogenase like protein 
Solyc02g079180	Heat shock transcription factor 1 
Solyc02g079190	Auxin F-box protein 5 
Solyc02g079200	Armadillo/beta-catenin repeat family protein 
Solyc02g079210	DAG protein 
Solyc02g079220	"Solute carrier family 2, facilitated glucose transporter member 8 "
Solyc02g079230	Vesicle-associated membrane family protein 
Solyc02g079240	Unknown Protein 
Solyc02g079250	3&apos
Solyc02g079260	Pentatricopeptide repeat-containing protein 
Solyc02g079270	3&apos
Solyc02g079280	MYB transcription factor 
Solyc02g079290	SELF PRUNING 2G
Solyc02g079300	Transcription factor jumonji domain-containing protein 
Solyc02g079310	Equilibrative nucleoside transporter 
Solyc02g079320	Unknown Protein 
Solyc02g079330	Equilibrative nucleoside transporter 
Solyc02g079340	Unknown Protein 
Solyc02g079350	Equilibrative nucleoside transporter 
Solyc02g079360	Octicosapeptide/Phox/Bem1p domain-containing protein 
Solyc02g079370	Cyclin-D6-1 
Solyc02g079380	Pentatricopeptide repeat-containing protein 
Solyc02g079390	Uncharacterized Cys-rich domain 
Solyc02g079400	Nitric oxide synthase interacting protein 
Solyc02g079410	Universal stress protein 
Solyc02g079430	CONSTANS-like zinc finger protein 
Solyc02g079440	FAD-binding domain-containing protein 
Solyc02g079450	FAD-binding domain-containing protein 
Solyc02g079460	FAD-binding domain-containing protein 
Solyc02g079470	FAD-binding domain-containing protein 
Solyc02g079480	FAD-binding domain-containing protein 
Solyc02g079490	Hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase 
Solyc02g079500	Peroxidase 
Solyc02g079510	Peroxidase 
Solyc02g079520	Calcium-binding EF hand family protein 
Solyc02g079530	Serine/threonine-protein kinase receptor 
Solyc02g079540	Serine/threonine-protein kinase receptor 
Solyc02g079550	Serine/threonine kinase receptor 
Solyc02g079560	Receptor-like protein kinase 
Solyc02g079570	Serine/threonine-protein kinase receptor 
Solyc02g079580	Receptor-like protein kinase 
Solyc02g079590	Serine/threonine kinase receptor 
Solyc02g079600	Receptor-like protein kinase 
Solyc02g079610	Receptor serine/threonine kinase 
Solyc02g079620	Serine/threonine-protein kinase receptor 
Solyc02g079630	Receptor kinase 
Solyc02g079640	Serine/threonine-protein kinase receptor 
Solyc02g079650	Receptor protein kinase 
Solyc02g079660	Receptor-like protein kinase 
Solyc02g079670	Receptor-like kinase 
Solyc02g079680	Cysteine-rich receptor-like protein kinase 26 
Solyc02g079690	S-locus receptor kinase 
Solyc02g079700	S-receptor kinase 
Solyc02g079710	Serine/threonine kinase receptor 
Solyc02g079720	Centrin 
Solyc02g079730	Thioredoxin family protein 
Solyc02g079740	U-box domain-containing protein 
Solyc02g079750	Flavoprotein wrbA 
Solyc02g079760	BHLH transcription factor-like protein 
Solyc02g079770	DAG protein 
Solyc02g079780	Pro-resilin 
Solyc02g079790	POT family domain containing protein expressed 
Solyc02g079800	Unknown Protein 
Solyc02g079810	Transcription Factor 
Solyc02g079820	Pentatricopeptide repeat-containing protein 
Solyc02g079830	Pentatricopeptide repeat-containing protein 
Solyc02g079840	
Solyc02g079850	Pleckstrin homology domain-containing family F member 2 
Solyc02g079860	Phototropic-responsive NPH3 family protein 
Solyc02g079870	Unknown Protein 
Solyc02g079880	Translation initiation factor-related 
Solyc02g079890	Beta-ocimene synthase 
Solyc02g079900	
Solyc02g079910	Limonene synthase 
Solyc02g079920	Transcription factor 
Solyc02g079930	Phosphosulfolactate synthase 
Solyc02g079940	Unknown Protein 
Solyc02g079950	Oxygen-evolving enhancer protein 3 
Solyc02g079960	Thioredoxin h 
Solyc02g079970	Transcription factor 
Solyc02g079980	Os01g0786800 protein 
Solyc02g079990	"RLK, Receptor like protein, putative resistance protein with an antifungal domain"
Solyc02g080000	Unknown Protein 
Solyc02g080010	"RLK, Receptor like protein, putative resistance protein with an antifungal domain"
Solyc02g080020	Receptor-like protein kinase 
Solyc02g080030	"RLK, Receptor like protein, putative resistance protein with an antifungal domain"
Solyc02g080040	Receptor-like protein kinase 
Solyc02g080050	Cysteine-rich receptor-like protein kinase 
Solyc02g080060	Cysteine-rich receptor-like protein kinase 29 
Solyc02g080070	"RLK, Receptor like protein, putative resistance protein with an antifungal domain"
Solyc02g080080	"RLK, Receptor like protein, putative resistance protein with an antifungal domain"
Solyc02g080090	Serine/threonine kinase receptor-like protein 
Solyc02g080100	NHL1 
Solyc02g080110	Unknown Protein 
Solyc02g080120	Gibberellin 2-beta-dioxygenase 7 
Solyc02g080130	Chaperone dnaj-like protein 
Solyc02g080140	Cysteine-rich PDZ-binding protein 
Solyc02g080150	Unknown Protein 
Solyc02g080160	Xyloglucan endotransglucosylase/hydrolase 1 
Solyc02g080170	Pentatricopeptide repeat-containing protein 
Solyc02g080180	Oligosaccharide transporter 
Solyc02g080190	Nuclear transport factor 2 
Solyc02g080200	Pectinesterase 
Solyc02g080210	Pectinesterase 
Solyc02g080220	Pectinesterase 
Solyc02g080230	Rop-interactive crib motif-containing protein 1 
Solyc02g080240	COBRA-like protein 
Solyc02g080250	COBRA-like protein 
Solyc02g080260	Homeobox leucine-zipper protein 
Solyc02g080270	Vacuolar protein sorting-associated protein 28 family protein 
Solyc02g080280	NAD
Solyc02g080290	Beta-glucosidase 47 
Solyc02g080300	Beta-glucosidase 47 
Solyc02g080310	Beta-glucosidase 47 
Solyc02g080320	Pseudouridine synthase family protein 
Solyc02g080330	Cytochrome P450
Solyc02g080340	Patatin-like phospholipase family protein 
Solyc02g080350	Pentatricopeptide repeat-containing protein 
Solyc02g080360	Unknown Protein 
Solyc02g080370	Tobamovirus multiplication protein 
Solyc02g080380	Derlin-2 
Solyc02g080390	Abnormal spindle-like microcephaly-associated protein 
Solyc02g080400	Abnormal spindle-like microcephaly-associated protein homolog 
Solyc02g080410	class I heat shock protein 
Solyc02g080420	RNA Binding Protein 45 
Solyc02g080430	Mediator of RNA polymerase II transcription subunit 21 
Solyc02g080440	FeS assembly protein SufB 
Solyc02g080450	Unknown Protein 
Solyc02g080460	Kinesin heavy chain 
Solyc02g080470	Heat shock protein 4 
Solyc02g080480	Multidrug resistance protein mdtK 
Solyc02g080490	MATE efflux family protein expressed 
Solyc02g080500	Uncharacterized GPI-anchored protein At1g61900 
Solyc02g080510	Arabidopsis thaliana genomic DNA chromosome 5 P1 clone MOK16 
Solyc02g080520	Os04g0625000 protein 
Solyc02g080530	Peroxidase 
Solyc02g080540	ATP synthase gamma chain 
Solyc02g080550	Unknown Protein 
Solyc02g080560	Unknown Protein 
Solyc02g080570	Glycogen synthase 
Solyc02g080580	Nuclear protein 
Solyc02g080590	Autophagy-related protein 8 
Solyc02g080600	Unknown Protein 
Solyc02g080610	Ankyrin repeat domain-containing protein 13C-A 
Solyc02g080620	Prephenate dehydratase family protein 
Solyc02g080630	Lactoylglutathione lyase 
Solyc02g080640	Phosphoadenosine phosphosulfate reductase 
Solyc02g080650	Copper transport protein 86 
Solyc02g080660	Glucan endo-1 3-beta-glucosidase 3 
Solyc02g080670	Laccase-22 
Solyc02g080680	Myb family transcription factor 
Solyc02g080690	Glycine-rich protein 
Solyc02g080700	L-ascorbate oxidase 
Solyc02g080710	Myb family transcription factor 
Solyc02g080720	Myb family transcription factor 
Solyc02g080730	Myb family transcription factor 
Solyc02g080740	Myb family transcription factor 
Solyc02g080750	Unknown Protein 
Solyc02g080760	Glycine-rich protein 
Solyc02g080770	Unknown Protein 
Solyc02g080780	Unknown Protein 
Solyc02g080790	Deoxyhypusine synthase 
Solyc02g080800	Deoxyhypusine synthase 
Solyc02g080810	Aminomethyltransferase 
Solyc02g080820	Peroxisomal membrane protein PMP22 
Solyc02g080830	F-box-like 
Solyc02g080840	F-box-like 
Solyc02g080850	F-box-like 
Solyc02g080860	Myb family transcription factor 
Solyc02g080870	B-cell receptor-associated protein 31-like containing protein 
Solyc02g080880	Aspartic proteinase 
Solyc02g080890	Transcription factor WRKY 
Solyc02g080900	Genomic DNA chromosome 5 TAC clone K6A12 
Solyc02g080910	Pectate lyase family protein 
Solyc02g080920	Stig1 
Solyc02g080930	Stig1 
Solyc02g080940	Proline synthetase co-transcribed bacterial homolog protein 
Solyc02g080950	Pentatricopeptide repeat-containing protein 
Solyc02g080960	TO62-3 
Solyc02g080970	Os06g0661900 protein 
Solyc02g080980	Leucyl-tRNA synthetase 
Solyc02g080990	Leucyl-tRNA synthetase 
Solyc02g081000	Leucyl-tRNA synthetase 
Solyc02g081010	Transcription factor jumonji domain-containing protein 
Solyc02g081020	Unknown Protein 
Solyc02g081030	Uncharacterized membrane protein C2G11.09 
Solyc02g081040	Receptor-like kinase 
Solyc02g081050	Receptor-like kinase 
Solyc02g081060	Unknown Protein 
Solyc02g081070	"Receptor like kinase, RLK"
Solyc02g081080	Os03g0169000 protein 
Solyc02g081090	Unknown Protein 
Solyc02g081100	Transposase family protein 
Solyc02g081110	Calcium-dependent protein kinase-like 
Solyc02g081120	Knotted-1-like homeobox protein H1 
Solyc02g081130	BAH-PHD domain-containing protein 
Solyc02g081140	UBX domain-containing protein 
Solyc02g081150	Unknown Protein 
Solyc02g081160	Diphosphate-fructose-6-phosphate 1-phosphotransferase 
Solyc02g081170	"Plastid-lipid-associated protein, chloroplastic "
Solyc02g081180	Zinc finger family protein 
Solyc02g081190	1-aminocyclopropane-1-carboxylate oxidase 
Solyc02g081200	At1g62390-like protein 
Solyc02g081210	Expansin 
Solyc02g081220	Unknown Protein 
Solyc02g081230	Unknown Protein 
Solyc02g081240	Glutathione S-transferase 
Solyc02g081250	Pentatricopeptide repeat-containing protein 
Solyc02g081260	Unknown Protein 
Solyc02g081270	NAC domain protein IPR003441 
Solyc02g081280	Unknown Protein 
Solyc02g081290	ATP-dependent RNA helicase 
Solyc02g081300	Sucrose synthase 
Solyc02g081310	50S ribosomal protein L15 
Solyc02g081320	SET domain-containing protein 
Solyc02g081330	Phytoene synthase 2
Solyc02g081340	Glutathione S-transferase 
Solyc02g081350	Acyl-CoA synthetase/AMP-acid ligase II 
Solyc02g081360	Long-chain-fatty-acid--CoA ligase 
Solyc02g081370	Acyl-CoA synthetase /AMP-acid ligase II 
Solyc02g081380	Ras-related protein Rab-5C 
Solyc02g081390	Amine oxidase family protein 
Solyc02g081400	Intracellular protease PfpI family protein expressed 
Solyc02g081410	Beta-catenin-like protein 1 
Solyc02g081420	Helicase sen1 
Solyc02g081430	Microsomal glutathione S-transferase 3 
Solyc02g081440	Os02g0638200 protein 
Solyc02g081450	NHL1 
Solyc02g081460	Gamma-tubulin complex component 2 
Solyc02g081470	Receptor-like protein kinase 
Solyc02g081480	Receptor kinase 
Solyc02g081490	Receptor-like kinase 
Solyc02g081500	Receptor-like kinase 
Solyc02g081510	Receptor-like protein kinase 
Solyc02g081520	Nibrin 
Solyc02g081530	Os01g0617600 protein 
Solyc02g081540	Genomic DNA chromosome 5 P1 clone MLF18 
Solyc02g081550	ATP-dependent Zn protease cell division protein FtsH homolog 
Solyc02g081560	Unknown Protein 
Solyc02g081570	Yellow stripe-like protein 2.1 
Solyc02g081580	NC domain-containing protein 
Solyc02g081590	FACT complex subunit SPT16 
Solyc02g081600	Zinc transporter protein 
Solyc02g081610	Phosphatidylinositol UDP-GlcNAc transferase PIG-C 
Solyc02g081620	Zinc finger protein 207 
Solyc02g081630	Unknown Protein 
Solyc02g081640	Transcription factor tfiiib component 
Solyc02g081650	Enhancer of polycomb-like protein 
Solyc02g081660	GTP-binding protein era homolog 
Solyc02g081670	Fimbriata 
Solyc02g081680	Nucleolar complex protein 2 homolog 
Solyc02g081690	Glucosyltransferase 
Solyc02g081700	Proteasome subunit alpha type 
Solyc02g081710	Sorbitol transporter 
Solyc02g081720	Mannitol transporter 
Solyc02g081730	Sterol-4-alpha-carboxylate 3-dehydrogenase decarboxylating 
Solyc02g081740	Acyltransferase 
Solyc02g081750	Acyltransferase 
Solyc02g081760	Acyltransferase 
Solyc02g081770	Transferase family protein 
Solyc02g081780	B3 domain-containing protein At5g18000 
Solyc02g081790	Serine/threonine-protein phosphatase 7 long form homolog 
Solyc02g081800	Acyltransferase 
Solyc02g081810	tRNA pseudouridine synthase B 
Solyc02g081820	HAD-superfamily hydrolase subfamily IA 
Solyc02g081830	HAD-superfamily hydrolase 
Solyc02g081840	MMP37-like protein mitochondrial 
Solyc02g081850	Amino acid transporter 
Solyc02g081860	Pentatricopeptide repeat-containing protein 
Solyc02g081870	ABC transporter G family member 31 
Solyc02g081880	Molybdenum cofactor sulfurase protein-like 
Solyc02g081890	Xylosyltransferase 1 
Solyc02g081900	Pentatricopeptide repeat-containing protein 
Solyc02g081910	DNA topoisomerase 
Solyc02g081920	Plastid ribulose-1 5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase-related protein 
Solyc02g081930	Unknown Protein 
Solyc02g081940	RNA binding protein 
Solyc02g081950	Calmodulin-binding protein 
Solyc02g081960	Splicing factor 
Solyc02g081970	Vacuolar sorting receptor 7 
Solyc02g081980	Ectonucleoside triphosphate diphosphohydrolase 6 
Solyc02g081990	Pectinesterase 
Solyc02g082000	30S ribosomal protein S19 
Solyc02g082010	Mitochondrial transcription termination factor family protein 
Solyc02g082020	Unknown Protein 
Solyc02g082030	ABC-type transport system-like 
Solyc02g082040	Transcription factor Myb 
Solyc02g082050	"Tir-nbs-lrr, resistance protein"
Solyc02g082060	PPPDE peptidase domain-containing protein 1 
Solyc02g082070	Cytochrome P450
Solyc02g082080	High affinity copper uptake protein 
Solyc02g082090	Peroxidase 
Solyc02g082100	Neuralized 
Solyc02g082110	Pre-mRNA-splicing factor cwc24 
Solyc02g082120	DNA-3-methyladenine glycosylase I 
Solyc02g082130	Unknown Protein 
Solyc02g082140	Unknown Protein 
Solyc02g082150	Unknown Protein 
Solyc02g082160	Pentatricopeptide repeat-containing protein 
Solyc02g082170	Purine permease 
Solyc02g082180	DNA replication licensing factor 
Solyc02g082190	CTP synthase 
Solyc02g082200	Glutaredoxin 
Solyc02g082210	Genomic DNA chromosome 3 P1 clone MOJ10 
Solyc02g082220	Protein transport protein SEC24 
Solyc02g082230	Serine/threonine-protein phosphatase 
Solyc02g082240	Unknown Protein 
Solyc02g082250	Thioredoxin reductase 
Solyc02g082260	Hydroxy-methylglutaryl-coenzyme A reductase 
Solyc02g082270	RNA-binding protein 68390-68829 
Solyc02g082280	Genomic DNA chromosome 5 TAC clone K2A18 
Solyc02g082290	MORC family CW-type zinc finger 3 
Solyc02g082300	AT-hook motif nuclear localized protein 2 
Solyc02g082310	Receptor-like kinase 
Solyc02g082320	F-box family protein 
Solyc02g082330	Unknown Protein 
Solyc02g082340	RNA polymerase I-specific transcription initiation factor RRN3 
Solyc02g082350	"Lrr,  resistance protein fragment"
Solyc02g082360	Translation initiation factor 
Solyc02g082370	Unknown Protein 
Solyc02g082380	MYB transcription factor 
Solyc02g082390	MYB transcription factor 
Solyc02g082400	Lysine-specific demethylase 3A 
Solyc02g082410	MFS family major facilitator transporter D-xylose cation symporter 
Solyc02g082420	Ring finger protein 
Solyc02g082430	MLO-like protein 3 
Solyc02g082440	Unknown Protein 
Solyc02g082450	Auxin efflux carrier family protein 
Solyc02g082460	Exoribonuclease 2 
Solyc02g082470	Serine threonine-protein kinase 
Solyc02g082480	Glutamate-gated kainate-type ion channel receptor subunit GluR5 
Solyc02g082490	Serine/threonine phosphatase family protein 
Solyc02g082500	50S ribosomal protein L11 
Solyc02g082510	Amino acid transporter family protein 
Solyc02g082520	Amino acid transporter family protein 
Solyc02g082530	Calcium-binding EF hand family protein 
Solyc02g082540	Actin cytoskeleton-regulatory complex protein pan1 
Solyc02g082550	Kinase family protein 
Solyc02g082560	CTP synthase-like protein 
Solyc02g082570	Unknown Protein 
Solyc02g082580	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc02g082590	Superoxide dismutase 
Solyc02g082600	Novel serine protease protein 
Solyc02g082610	Unknown Protein 
Solyc02g082620	Unknown Protein 
Solyc02g082630	Phosphoinositide phosphatase family protein 
Solyc02g082640	Unknown Protein 
Solyc02g082650	Unknown Protein 
Solyc02g082660	DNA mismatch repair protein mutL 
Solyc02g082670	WUSCHEL-related homeobox 14 
Solyc02g082680	Unknown Protein 
Solyc02g082690	Syntaxin binding protein 5 
Solyc02g082700	High mobility group protein 
Solyc02g082710	Unknown Protein 
Solyc02g082720	Serine protease Do 
Solyc02g082730	Rab gdp-dissociation inhibitor 
Solyc02g082740	Dirigent-like protein 1 
Solyc02g082750	Phosphatidylinositol phosphate 
Solyc02g082760	Catalase 
Solyc02g082770	Phosphatidylinositide phosphatase SAC1 
Solyc02g082780	Unknown Protein 
Solyc02g082790	Unknown Protein 
Solyc02g082800	Ubiquilin-1 
Solyc02g082810	CCA-adding enzyme 
Solyc02g082820	Cyclin B2 
Solyc02g082830	Phosphoserine aminotransferase 
Solyc02g082840	Protein GRIP 
Solyc02g082850	Serine O-acetyltransferase 
Solyc02g082860	Isocitrate dehydrogenase 
Solyc02g082870	Acyl-CoA synthetase/AMP-acid ligase II 
Solyc02g082880	Acyl-CoA synthetase/AMP-acid ligase II 
Solyc02g082890	RING finger protein 
Solyc02g082900	Strictosidine synthase family protein 
Solyc02g082910	Acyl-CoA synthetase/AMP-acid ligase II 
Solyc02g082920	Endochitinase 
Solyc02g082930	Endochitinase 
Solyc02g082940	Os03g0291800 protein 
Solyc02g082950	Os03g0291800 protein 
Solyc02g082960	Endochitinase 
Solyc02g082970	Pentatricopeptide repeat-containing protein 
Solyc02g082980	CM0216.330.nc protein 
Solyc02g082990	ABA-inducible protein-like protein 
Solyc02g083000	CM0216.330.nc protein 
Solyc02g083010	CM0216.330.nc protein 
Solyc02g083020	CM0216.330.nc protein 
Solyc02g083030	CM0216.330.nc protein 
Solyc02g083040	CM0216.330.nc protein 
Solyc02g083050	CM0216.330.nc protein 
Solyc02g083060	Unknown Protein 
Solyc02g083070	Unknown Protein 
Solyc02g083080	Unknown Protein 
Solyc02g083090	CM0216.330.nc protein 
Solyc02g083100	CM0216.330.nc protein 
Solyc02g083110	UNE1-like protein 
Solyc02g083120	CM0216.240.nc protein 
Solyc02g083130	IST1 homolog 
Solyc02g083140	Ribonuclease E 
Solyc02g083150	Palmitoyltransferase 
Solyc02g083160	GDSL esterase/lipase At5g33370 
Solyc02g083170	F-box family protein 
Solyc02g083180	Unknown Protein 
Solyc02g083190	F-box family protein 
Solyc02g083200	Unknown Protein 
Solyc02g083210	Unknown Protein 
Solyc02g083220	DNA-directed RNA polymerase 
Solyc02g083230	DNA-directed RNA polymerase 
Solyc02g083240	DNA-directed RNA polymerase 
Solyc02g083250	Cellular retinaldehyde-binding/triple function C-terminal 
Solyc02g083260	GPI mannosyltransferase 1 
Solyc02g083270	Vitamin K epoxide reductase 
Solyc02g083280	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1 
Solyc02g083290	Serine/threonine/tyrosine kinase 
Solyc02g083300	Unknown Protein 
Solyc02g083310	Wound responsive protein 
Solyc02g083320	RNA-binding protein 
Solyc02g083330	Unknown Protein 
Solyc02g083340	Phospholipase D 
Solyc02g083350	DNA-directed RNA polymerase 
Solyc02g083360	Protein-methionine-s-oxide reductase 
Solyc02g083370	Unknown Protein 
Solyc02g083380	Unknown Protein 
Solyc02g083390	Prolyl 4-hydroxylase alpha subunit-like protein 
Solyc02g083400	RING finger protein 38 
Solyc02g083410	Receptor-like kinase 
Solyc02g083420	Protein phosphatase 2C 
Solyc02g083430	Transmembrane protein 63C 
Solyc02g083440	Unknown Protein 
Solyc02g083450	Aspartic proteinase-like protein 1 
Solyc02g083460	Aspartyl protease family protein 
Solyc02g083470	Pre-rRNA-processing protein ESF1 
Solyc02g083480	Peroxidase 
Solyc02g083490	Peroxidase 
Solyc02g083500	Genomic DNA chromosome 5 TAC clone K2A18 
Solyc02g083510	Aquaporin 
Solyc02g083520	BZIP transcription factor 
Solyc02g083530	Genomic DNA chromosome 5 TAC clone K2A18 
Solyc02g083540	Protein kinase domain containing protein 
Solyc02g083550	Metal ion binding protein 
Solyc02g083560	Vacuolar protein sorting 35 
Solyc02g083570	Ubiquitin-conjugating enzyme E2 10 
Solyc02g083580	Ras-like GTP-binding protein RHO 
Solyc02g083590	Dehydroquinate synthase 
Solyc02g083600	Replication factor C large subunit 
Solyc02g083610	BZIP transcription factor 
Solyc02g083620	Ascorbate peroxidase 
Solyc02g083630	Ascorbate peroxidase 
Solyc02g083640	Male sterility 5 family protein 
Solyc02g083650	Unknown Protein 
Solyc02g083660	RING finger protein 
Solyc02g083670	Histidine kinase 
Solyc02g083680	Multi-sensor hybrid histidine kinase 
Solyc02g083690	Senescence-associated protein 12 
Solyc02g083700	Alpha-mannosidase 
Solyc02g083710	26S proteasome non-ATPase regulatory subunit 4 
Solyc02g083720	MLO-like protein 4 
Solyc02g083730	Thiosulfate sulfurtransferase rhodanese domain protein 
Solyc02g083740	Oligopeptide transporter 9 
Solyc02g083750	Transcription regulator 
Solyc02g083760	Thaumatin-like protein 
Solyc02g083770	Unknown Protein 
Solyc02g083780	Pentatricopeptide repeat-containing protein 
Solyc02g083790	Thaumatin-like protein 
Solyc02g083800	Cold-shock DNA binding protein 
Solyc02g083810	Ferredoxin--NADP reductase 
Solyc02g083820	Armadillo/beta-catenin repeat family protein 
Solyc02g083830	Pectinesterase 
Solyc02g083840	Unknown Protein 
Solyc02g083850	Calcium-dependent protein kinase 
Solyc02g083860	Flavanone 3-hydroxylase 
Solyc02g083870	Gibberellin-regulated protein 2 
Solyc02g083880	Gibberellin-regulated protein 2 
Solyc02g083890	Unknown Protein 
Solyc02g083900	Serine/threonine-protein kinase TEL1 
Solyc02g083910	Unknown Protein 
Solyc02g083920	Unknown Protein 
Solyc02g083930	Unknown Protein 
Solyc02g083940	WD repeat protein-like 
Solyc02g083950	WUSCHEL-related homeobox-containing protein 4 
Solyc02g083960	Oxidoreductase 2OG-Fe oxygenase family protein 
Solyc02g083970	Chromosome 18 contig 1 DNA sequence 
Solyc02g083980	Endoglucanase 1 
Solyc02g083990	Calcium-dependent protein kinase CPK1 adapter protein 2-like 
Solyc02g084000	YEATS domain-containing protein 
Solyc02g084010	Auxin-induced SAUR-like protein 
Solyc02g084020	Small nuclear ribonucleoprotein Sm D3 
Solyc02g084030	Peptide methionine sulfoxide reductase msrA 
Solyc02g084060	Unknown Protein 
Solyc02g084070	Unknown Protein 
Solyc02g084080	Unknown Protein 
Solyc02g084090	ATP-dependent Clp protease ATP-binding subunit clpX 
Solyc02g084100	Unknown Protein 
Solyc02g084110	Unknown Protein 
Solyc02g084120	ATP-dependent Clp protease ATP-binding subunit clpX 
Solyc02g084130	Unknown Protein 
Solyc02g084140	Unknown Protein 
Solyc02g084150	Unknown Protein 
Solyc02g084160	Unknown Protein 
Solyc02g084170	ATP-dependent Clp protease ATP-binding subunit ClpX 
Solyc02g084180	Unknown Protein 
Solyc02g084190	Unknown Protein 
Solyc02g084200	Zinc finger CCCH domain-containing protein 6 
Solyc02g084210	GDP-mannose 4 6-dehydratase 
Solyc02g084220	Genomic DNA chromosome 5 TAC clone K1L20 
Solyc02g084230	GAGA-binding transcriptional activator 
Solyc02g084240	H1 histone-like protein 
Solyc02g084250	Unknown Protein 
Solyc02g084260	Unknown Protein 
Solyc02g084270	Unknown Protein 
Solyc02g084280	Unknown Protein 
Solyc02g084290	Unknown Protein 
Solyc02g084300	CTP synthase 
Solyc02g084310	Unknown Protein 
Solyc02g084320	Unknown Protein 
Solyc02g084330	Unknown Protein 
Solyc02g084340	Pre-mRNA-splicing factor CWC25-like protein 
Solyc02g084350	NAC domain protein IPR003441 
Solyc02g084360	V-type proton ATPase 16 kDa proteolipid subunit c2 
Solyc02g084370	"Receptor like kinase, RLK"
Solyc02g084380	Genomic DNA chromosome 3 P1 clone MVE11 
Solyc02g084390	Kinesin like protein 
Solyc02g084400	Uncharacterized aarF domain-containing protein kinase 2 
Solyc02g084410	Glyoxalase 
Solyc02g084420	Zinc finger protein CONSTANS-LIKE 2 
Solyc02g084430	COL domain class transcription factor 
Solyc02g084440	Fructose-bisphosphate aldolase 
Solyc02g084450	"Cc-nbs-lrr, resistance protein"
Solyc02g084470	Protein FAR1-RELATED SEQUENCE 5 
Solyc02g084480	Unknown Protein 
Solyc02g084490	General vesicular transport factor p115 
Solyc02g084500	UPF0183 domain protein 
Solyc02g084510	Novel protein containing a PHD-finger domain 
Solyc02g084520	Zinc finger CCCH domain-containing protein 19 
Solyc02g084530	Unknown Protein 
Solyc02g084540	DUF726 domain-containing protein 
Solyc02g084550	Chromosome 10 contig 1 DNA sequence 
Solyc02g084560	Coiled-coil domain-containing protein 90B mitochondrial 
Solyc02g084570	Cytochrome P450
Solyc02g084580	Unknown Protein 
Solyc02g084590	GATA transcription factor 9 
Solyc02g084600	"LRR receptor-like serine/threonine-protein kinase, RLP"
Solyc02g084610	"LRR receptor-like serine/threonine-protein kinase, RLP"
Solyc02g084620	Microspherule protein 1 
Solyc02g084630	MADS-box transcription factor 
Solyc02g084640	Aldehyde dehydrogenase 
Solyc02g084650	Unknown Protein 
Solyc02g084660	Glutaredoxin I 
Solyc02g084670	Dehydration-responsive family protein 
Solyc02g084680	Short internodes 2 
Solyc02g084690	FG-GAP repeat-containing protein 
Solyc02g084700	MORC family CW-type zinc finger 3 
Solyc02g084710	Thioredoxin h1 
Solyc02g084720	Beta-galactosidase 
Solyc02g084730	Ribosomal RNA small subunit methyltransferase A 
Solyc02g084740	Cytochrome P450
Solyc02g084750	
Solyc02g084760	Ubiquitin-conjugating enzyme E2 W 
Solyc02g084770	Mitochondrial carrier protein expressed 
Solyc02g084780	Peroxidase 
Solyc02g084790	Peroxidase 
Solyc02g084800	Peroxidase 
Solyc02g084810	Unknown Protein 
Solyc02g084820	Glycosyl transferase group 1 
Solyc02g084830	Pentatricopeptide repeat-containing protein 
Solyc02g084840	Dehydrin DHN1 
Solyc02g084850	Unknown Protein 
Solyc02g084860	BZIP transcription factor 
Solyc02g084870	Mitogen-activated protein kinase 7 
Solyc02g084880	BHLH transcription factor-like protein 
Solyc02g084890	"Cc-nbs-lrr, resistance protein"
Solyc02g084900	Cell division protease ftsH homolog 
Solyc02g084910	26S protease regulatory subunit 6B homolog 
Solyc02g084920	Proteasome subunit beta type 
Solyc02g084930	Cytochrome P450
Solyc02g084940	Unknown Protein 
Solyc02g084950	Carboxyl methyltransferase 4 
Solyc02g084960	Genomic DNA chromosome 5 TAC clone K1F13 
Solyc02g084970	PAP2 domain protein 
Solyc02g084980	Galactinol synthase 
Solyc02g084990	Mannan endo-1 4-beta-mannosidase 
Solyc02g085000	Genomic DNA chromosome 5 TAC clone K1F13 
Solyc02g085010	Unknown Protein 
Solyc02g085020	Dihydroflavonol 4-reductase 
Solyc02g085030	UBA/TS-N domain protein 
Solyc02g085040	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase "
Solyc02g085050	Inorganic pyrophosphatase-like protein 
Solyc02g085060	Replication factor C subunit 5 
Solyc02g085070	Hydrolase alpha/beta fold family protein 
Solyc02g085080	Transmembrane protein 53 
Solyc02g085090	Syntaxin 
Solyc02g085100	Aldose 1-epimerase family protein 
Solyc02g085110	Laccase 
Solyc02g085120	Laccase 
