gene	annotation
Solyc03g044625	PLATZ transcription factor family protein (AHRD V3.3 *** A8MR35_ARATH)
Solyc03g045030	TCP transcription factor 26
Solyc03g160530	Heat stress transcription factor B-3 (AHRD V3.11 *-* tr|A0A2G3BHN4|A0A2G3BHN4_CAPCH)
Solyc03g058882	Nuclear transcription factor Y subunit C-4 (AHRD V3.11 *-* tr|A0A2G2WM83|A0A2G2WM83_CAPBA)
Solyc03g058888	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g062820	Transcription factor, MADS-box (AHRD V3.3 *-* A0A2U1Q521_ARTAN)
Solyc03g063164	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g063166	nuclear transcription factor Y subunit C-1-like (AHRD V3.11 *-* XP_025886121.1)
Solyc03g063200	Zinc finger transcription factor 25
Solyc03g063680	Zinc finger transcription factor  26
Solyc03g161000	Transcription factor MYB26 (AHRD V3.11 *-* tr|A0A2G3D6P8|A0A2G3D6P8_CAPCH)
Solyc03g104810	WRKY transcription factor 5
Solyc03g161070	bZIP transcription factor 17-like (AHRD V3.11 *-* XP_025886287.1)
Solyc03g161060	BZIP transcription factor 17 (AHRD V3.11 *-* tr|A0A2G3A943|A0A2G3A943_CAPAN)
Solyc03g161120	BZIP transcription factor 17 (AHRD V3.11 *-* tr|A0A2G3D6L2|A0A2G3D6L2_CAPCH)
Solyc03g161150	bZIP transcription factor 17-like (AHRD V3.11 *-* XP_025886287.1)
Solyc03g161160	bZIP transcription factor 17 (AHRD V3.11 *-* XP_004249119.1)
Solyc03g161130	bZIP transcription factor 17-like (AHRD V3.11 --* XP_022846389.1)
Solyc03g161200	bZIP transcription factor 17 (AHRD V3.11 *-* XP_004249119.1)
Solyc03g161210	bZIP transcription factor 17 (AHRD V3.11 *-* XP_004249119.1)
Solyc03g161180	bZIP transcription factor 17-like (AHRD V3.11 --* XP_025886287.1)
Solyc03g082750	WRKY transcription factor 27
Solyc03g082760	WRKY transcription factor 22-like (AHRD V3.3 *-* XP_004235113.1)
Solyc03g082810	WRKY transcription factor 26
Solyc03g083110	AP2/B3 transcription factor family protein (AHRD V3.3 *** A0A2U1MEM3_ARTAN)
Solyc03g083240	Transcription factor jumonji (JmjC) domain-containing protein (AHRD V3.3 *** Q8VYB9_ARATH)
Solyc03g093530	Ethylene-responsive transcription factor (AHRD V3.11 *-* tr|A0A2G3CV66|A0A2G3CV66_CAPCH)
Solyc03g093540	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)
Solyc03g093550	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)
Solyc03g093890	R2R3MYB transcription factor 52
Solyc03g093930	MYB transcription factor (AHRD V3.11 *** tr|Q2LME3|Q2LME3_MALDO)
Solyc03g093940	R2R3MYB transcription factor 51
Solyc03g095770	WRKY transcription factor 80
Solyc03g095973	Ethylene-responsive transcription factor ABI4 (AHRD V3.3 *-* A0A2G3CUC7_CAPCH)
Solyc03g095977	Ethylene-responsive transcription factor ABI4 (AHRD V3.3 *-* A0A2G3CUC7_CAPCH)
Solyc03g095980	bHLH transcription factor 021
Solyc03g096350	Transcription factor DIVARICATA (AHRD V3.3 *** A0A1U8G0H1_CAPAN)
Solyc03g097090	Transcription factor jumonji (Jmj) family protein / zinc finger (C5HC2 type) family protein (AHRD V3.11 *** tr|F4KIX0|F4KIX0_ARATH)
Solyc03g097120	Heat stress transcription factor A.1
Solyc03g097820	bHLH transcription factor 022
Solyc03g098270	MYB transcription factor (AHRD V3.3 *-* A0A1Z1N318_PRUPE)
Solyc03g019800	Cyclin-D-binding Myb-like transcription factor 1 (AHRD V3.11 *-* tr|A0A1J3E546|A0A1J3E546_NOCCA)
Solyc00g107050	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g160140	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g160150	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g160160	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g160170	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g160180	Nuclear transcription factor Y subunit C (AHRD V3.11 *-* tr|A0A0D3GXF4|A0A0D3GXF4_9ORYZ)
Solyc03g110840	Nuclear transcription factor Y subunit C (AHRD V3.3 *-* A0A0D3GXF4_9ORYZ)
Solyc03g110850	Nuclear transcription factor Y subunit C (AHRD V3.3 *-* A0A0D3GXF4_9ORYZ)
Solyc03g110860	Nuclear transcription factor Y subunit C-4 (AHRD V3.3 *** A0A2G3CY59_CAPCH)
Solyc03g110950	Transcription factor GRAS (AHRD V3.3 *** A0A200R4D0_9MAGN)
Solyc03g111090	transcription factor GTE10-like (AHRD V3.3 *** A0A1U8FX92_CAPAN)
Solyc03g111450	Nuclear transcription factor Y subunit C (AHRD V3.3 *-* A0A0D3GXF4_9ORYZ)
Solyc03g111460	Nuclear transcription factor Y subunit C (AHRD V3.3 *-* A0A0D3GXF4_9ORYZ)
Solyc03g111470	Nuclear transcription factor Y subunit C-4 (AHRD V3.3 *** A0A2G3CY59_CAPCH)
Solyc03g111580	Zinc finger transcription factor 27
Solyc03g112390	R2R3MYB transcription factor 86
Solyc03g112890	R2R3MYB transcription factor
Solyc03g112995	Transcription factor PRE5 (AHRD V3.3 *** A0A2G3CYH0_CAPCH)
Solyc03g113530	MYB transcription factor (AHRD V3.3 *-* B4FNX4_MAIZE)
Solyc03g113550	Transcription factor bHLH79 (AHRD V3.3 *-* A0A2G3AW72_CAPCH)
Solyc03g113560	Transcription factor bHLH79 (AHRD V3.3 *-* A0A2G3A1L3_CAPAN)
Solyc03g113620	Transcription factor MYB1.1
Solyc03g113760	E2F transcription factor-like E2FE (AHRD V3.3 *** A0A1U8FXH9_CAPAN)
Solyc03g114230	bHLH transcription factor 082
Solyc03g114440	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2YW81_CAPAN)
Solyc03g114720	bHLH transcription factor 023
Solyc03g115010	TCP transcription factor 4
Solyc03g115430	MYB transcription factor MYB150 (AHRD V3.3 --* NP_001236473.2)
Solyc03g115540	bHLH transcription factor 024
Solyc03g115910	Transcription factor, MADS-box (AHRD V3.11 *** tr|A0A2U1Q810|A0A2U1Q810_ARTAN)
Solyc03g116100	R2R3MYB transcription factor 31
Solyc03g116320	TCP transcription factor 16
Solyc03g116340	bHLH transcription factor 025
Solyc03g116410	Zinc finger transcription factor 28
Solyc03g116420	Zinc finger transcription factor 29
Solyc03g116610	Ethylene-responsive transcription factor WI.1
Solyc03g116890	WRKY transcription factor 39
Solyc03g117130	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8G8S1_CAPAN)
Solyc03g117230	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2WQP9_CAPBA)
Solyc03g117720	AP2-like ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3A2R5_CAPAN)
Solyc03g118190	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3CZ32_CAPCH)
Solyc03g118230	trihelix transcription factor ASR3-like (AHRD V3.3 *** A0A2I4FCD1_9ROSI)
Solyc03g118310	bHLH transcription factor 083
Solyc03g119370	R2R3MYB transcription factor 62
Solyc03g119390	Transcription factor (AHRD V3.11 *** tr|A0A2G3A3C0|A0A2G3A3C0_CAPAN)
Solyc03g119740	Transcription factor DIVARICATA (AHRD V3.3 *** A0A1U8FVE8_CAPAN)
Solyc03g119770	Transcription factor CYCLOIDEA (AHRD V3.11 *** tr|A0A2G3A3C3|A0A2G3A3C3_CAPAN)
Solyc03g119790	Transcription factor TFIIE, alpha subunit (AHRD V3.3 *** A0A2U1NPV3_ARTAN)
Solyc03g119800	Ethylene-responsive transcription factor LEP (AHRD V3.3 *** A0A2G3D147_CAPCH)
Solyc03g120840	Ethylene-responsive transcription factor TINY (AHRD V3.3 *** A0A2G2WP67_CAPBA)
Solyc03g120890	GATA transcription factor (AHRD V3.3 *** K4BMN8_SOLLC)
Solyc03g121240	Transcription factor HEC2 (AHRD V3.3 *** A0A2G2WPZ2_CAPBA)
Solyc03g121740	R2R3MYB transcription factor 26
Solyc03g121940	Nuclear transcription factor Y subunit A-8 (AHRD V3.3 *** A0A2G2ZVT6_CAPAN)
Solyc03g122030	Trihelix transcription factor ASIL2 (AHRD V3.3 *-* ASIL2_ARATH)
Solyc04g005100	transcription factor MYB1R1-like (AHRD V3.3 *** A0A2I4GKI8_9ROSI)
Solyc04g005130	bHLH transcription factor 027
Solyc04g005220	Transcription factor bHLH62 (AHRD V3.3 *** A0A2G2WBN0_CAPBA)
Solyc04g005280	bHLH transcription factor 028
Solyc04g005320	MADS box transcription factor (AHRD V3.3 *** Q8L5F3_DAUCA)
Solyc04g005500	T-box transcription factor%2C putative (DUF863) (AHRD V3.3 *** AT1G69360.1)
Solyc04g005600	Transcription factor (AHRD V3.3 *** A0A2G2Z3S3_CAPAN)
Solyc04g005660	transcription factor PRE6-like (AHRD V3.3 *** A0A2I4HLH0_9ROSI)
Solyc04g005710	R2R3MYB transcription factor 88
Solyc04g006980	TCP transcription factor 22
Solyc04g007000	AP2/B3 transcription factor family protein (AHRD V3.11 *** tr|A0A2U1MEM3|A0A2U1MEM3_ARTAN)
Solyc04g007170	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2V7U7_CAPBA)
Solyc04g007300	bHLH transcription factor 030
Solyc04g007430	bHLH transcription factor 031
Solyc04g008090	PLATZ transcription factor family protein (AHRD V3.11 *** tr|A0A2U1NTE5|A0A2U1NTE5_ARTAN)
Solyc04g008550	Zinc finger transcription factor  31
Solyc04g008870	Transcription factor DIVARICATA (AHRD V3.3 *** A0A2G2X9C5_CAPBA)
Solyc04g009180	TCP transcription factor 14
Solyc04g009450	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3CEN0_CAPCH)
Solyc04g009520	Nuclear transcription factor Y subunit B (AHRD V3.3 *-* A0A2G2X323_CAPBA)
Solyc04g009990	Transcription factor jumonji (Jmj) family protein / zinc finger (C5HC2 type) family protein (AHRD V3.3 *** A0A1P8AMS3_ARATH)
Solyc04g011630	Transcription factor GRAS (AHRD V3.3 *-* A0A2U1PJZ1_ARTAN)
Solyc04g011640	Transcription factor GRAS (AHRD V3.11 *** tr|A0A200R547|A0A200R547_9MAGN)
Solyc04g011670	Transcription factor TGA7 (AHRD V3.3 *** A0A1U8GLI3_CAPAN)
Solyc04g012050	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)
Solyc04g014360	bHLH transcription factor 032
Solyc04g014470	R2R3MYB transcription factor 20
Solyc04g014830	Transcription factor GRAS (AHRD V3.3 *** A0A200QXB8_9MAGN)
Solyc04g015060	Nuclear transcription factor Y subunit B-6 (AHRD V3.3 *** A0A2G3CDL2_CAPCH)
Solyc04g015290	Myb family transcription factor APL (AHRD V3.3 *** A0A2G3CDT5_CAPCH)
Solyc04g015360	GATA transcription factor (AHRD V3.3 *** K4BQ39_SOLLC)
Solyc04g016000	Heat shock transcription factor protein 8 (AHRD V3.3 *** A0A1W6LWG5_FRAAN)
Solyc04g017710	Zinc finger transcription factor 32
Solyc04g028580	Transcription factor jumonji (Jmj) family protein / zinc finger (C5HC2 type) family protein (AHRD V3.3 *-* A0A1P8BAS6_ARATH)
Solyc04g160300	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc04g025970	MADS-box transcription factor (AHRD V3.3 *** A0A2K3LZS0_TRIPR)
Solyc04g025375	Transcription factor (AHRD V3.3 *-* A0A1U8FBH1_CAPAN)
Solyc04g025110	MADS-box transcription factor (AHRD V3.3 *** A0A2K3LJJ6_TRIPR)
Solyc04g025050	MADS-box transcription factor (AHRD V3.3 *-* A0A2K3L7S8_TRIPR)
Solyc04g025030	MADS-box transcription factor (AHRD V3.3 *** A0A2K3L7S8_TRIPR)
Solyc04g161140	MYB transcription factor (AHRD V3.11 *** tr|E5GB86|E5GB86_CUCME)
Solyc04g045430	trihelix transcription factor ASR3-like (AHRD V3.3 *** A0A2I4FCD1_9ROSI)
Solyc04g047870	MADS-box transcription factor (AHRD V3.3 *** A0A2K3L7S8_TRIPR)
Solyc04g049140	Transcription factor jumonji (JmjC) domain-containing protein (AHRD V3.3 *** Q8VYB9_ARATH)
Solyc04g049740	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc04g049800	AP2-like ethylene-responsive transcription factor (AHRD V3.3 *** A0A220QTH6_9SOLA)
Solyc04g049910	Nuclear transcription factor Y subunit B-8 (AHRD V3.3 *** A0A2G2VG97_CAPBA)
Solyc04g050000	R2R3MYB transcription factor 73
Solyc04g050080	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE),Pfam:PF13921
Solyc04g050090	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc04g050100	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc04g161490	transcription factor MYB73-like (AHRD V3.11 --* XP_010319954.1)
Solyc04g161520	WRKY transcription factor 22-like (AHRD V3.11 *-* XP_004240275.1)
Solyc04g161540	WRKY transcription factor 22-like (AHRD V3.11 --* XP_004240275.1)
Solyc04g050210	WRKY transcription factor 69
Solyc04g161550	WRKY transcription factor (AHRD V3.11 *** tr|E5GBD4|E5GBD4_CUCME)
Solyc04g161560	WRKY transcription factor 22-like (AHRD V3.11 *-* XP_004240275.1)
Solyc04g161570	WRKY transcription factor 22-like (AHRD V3.11 --* XP_004240275.1)
Solyc04g161730	BZIP transcription factor 17 (AHRD V3.11 *-* tr|A0A2G3A943|A0A2G3A943_CAPAN)
Solyc04g161720	bZIP transcription factor 17 (AHRD V3.11 *-* XP_004249119.1)
Solyc04g161750	bZIP transcription factor 17 (AHRD V3.11 *-* tr|A0A2I4GIC4|A0A2I4GIC4_9ROSI)
Solyc04g161740	bZIP transcription factor 17-like (AHRD V3.11 *-* XP_025886287.1)
Solyc04g161770	bZIP transcription factor 17-like (AHRD V3.11 *-* XP_025886287.1)
Solyc04g051540	WRKY transcription factor 13
Solyc04g051690	WRKY transcription factor 51
Solyc04g054150	Nuclear transcription factor Y subunit B-3 (AHRD V3.11 *** tr|A0A2G3B250|A0A2G3B250_CAPCH)
Solyc04g054320	leucine-zipper transcription factor
Solyc04g160210	MADS-box transcription factor 56-like (AHRD V3.11 *-* XP_019069043.2)
Solyc04g054524	MADS-box transcription factor 56-like (AHRD V3.3 *** XP_019069043.2)
Solyc04g054525	Transcription factor, MADS-box (AHRD V3.3 *-* A0A2U1Q810_ARTAN)
Solyc04g054527	MADS-box transcription factor (AHRD V3.3 *-* A2PZF4_ALSLI)
Solyc04g054533	MADS-box transcription factor (AHRD V3.3 *-* A2PZF5_ALSLI)
Solyc04g054517	MADS-box transcription factor (AHRD V3.11 *-* tr|A2PZF6|A2PZF6_ALSLI)
Solyc04g160380	MADS-box transcription factor (AHRD V3.11 *-* tr|Q84M21|Q84M21_TULGE)
Solyc04g054537	MADS-box transcription factor 50-like (AHRD V3.11 *-* XP_025886283.1)
Solyc04g054655	MADS-box transcription factor (AHRD V3.11 *-* tr|A0A0S3PND8|A0A0S3PND8_9LILI)
Solyc04g054682	MADS-box transcription factor 50-like (AHRD V3.3 *** XP_025886283.1)
Solyc04g054684	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1Q5V5|A0A2U1Q5V5_ARTAN)
Solyc04g054688	MADS-box transcription factor (AHRD V3.11 *-* tr|A0A0S3PND8|A0A0S3PND8_9LILI)
Solyc04g054700	General transcription factor IIH subunit (AHRD V3.3 *** A0A2G2XQE2_CAPBA)
Solyc04g054910	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2ZQC4_CAPAN)
Solyc04g056310	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)
Solyc04g162070	bZIP transcription factor 17 (AHRD V3.11 *-* XP_004249119.1)
Solyc04g056470	BZIP transcription factor 17 (AHRD V3.3 *-* A0A2G3D6L2_CAPCH)
Solyc04g162090	bZIP transcription factor 17 (AHRD V3.11 --* XP_004249119.1)
Solyc04g162130	BZIP transcription factor 17 (AHRD V3.11 *-* tr|A0A2G3D6L2|A0A2G3D6L2_CAPCH)
Solyc04g056505	bZIP transcription factor 17 (AHRD V3.11 *-* XP_004249119.1)
Solyc04g056510	BZIP transcription factor (AHRD V3.3 *-* A0A2K3NPR1_TRIPR)
Solyc04g057990	Zinc finger transcription factor 33
Solyc04g064540	R2R3MYB transcription factor 115
Solyc04g064770	Zinc finger transcription factor 34
Solyc04g064800	Zinc finger transcription factor 35
Solyc04g064860	MADS-box transcription factor 23 (AHRD V3.3 *** A0A2G2Y5S9_CAPAN)
Solyc04g071160	Basic-leucine zipper (BZIP) transcription factor family protein (AHRD V3.3 *-* Q8H1F0_ARATH)
Solyc04g071360	Trihelix transcription factor GT.1
Solyc04g071770	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GDL3_CAPAN)
Solyc04g074170	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)
Solyc04g080740	BZIP transcription factor (AHRD V3.3 *** I6MK31_PRUPE)
Solyc05g005360	Nuclear transcription factor Y subunit B-9 (AHRD V3.3 *** A0A1U8F2B7_CAPAN)
Solyc05g007710	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)
Solyc05g012840	TCP transcription factor.1
Solyc05g032780	TCP transcription factor.1
Solyc05g046345	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc05g160100	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc05g047713	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc05g047718	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc05g160380	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc05g048830	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)
Solyc05g162110	WRKY transcription factor 22-like (AHRD V3.11 *-* XP_004240275.1)
Solyc05g051550	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)
Solyc06g008490	Transcription factor jumonji (Jmj) family protein / zinc finger (C5HC2 type) family protein (AHRD V3.3 *** A0A1P8AMS3_ARATH)
Solyc06g009510	transcription factor UPBEA.1
Solyc06g009610	Transcription factor GRAS (AHRD V3.3 *** A0A200PWC4_9MAGN)
Solyc06g160370	MADS-box transcription factor (AHRD V3.11 *-* tr|A0A2K3MVG2|A0A2K3MVG2_TRIPR)
Solyc06g160600	MYB transcription factor (AHRD V3.11 *-* tr|A0A0U3IU11|A0A0U3IU11_MESCR)
Solyc06g150109	MADS-box transcription factor (AHRD V3.3 *** Q1EMR8_PLAMJ)
Solyc06g053960	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc06g071230	Transcription factor MYB1.1
Solyc06g072750	Heat stress transcription factor A.1
Solyc07g150112	Transcription factor, MADS-box (AHRD V3.3 *-* A0A2U1Q810_ARTAN)
Solyc07g040680	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc07g049120	PLATZ transcription factor family protein (AHRD V3.3 *** A0A2U1P2G6_ARTAN)
Solyc07g049130	PLATZ transcription factor family protein (AHRD V3.3 *** A0A2U1P2G6_ARTAN)
Solyc07g065570	Nuclear transcription factor Y subunit B (AHRD V3.3 *-* A0A2G2X323_CAPBA)
Solyc08g161820	B3 domain-containing transcription factor VRN1-like (AHRD V3.11 *-* XP_004234716.1)
Solyc08g065380	Transcription factor MYB1.1
Solyc09g009250	Trihelix transcription factor GT.1
Solyc09g065660	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc09g082670	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc09g089910	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)
Solyc10g005460	MYB transcription factor (AHRD V3.3 *** A0A0U3IU11_MESCR)
Solyc10g018355	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc06g034317	MADS-box transcription factor (AHRD V3.11 *-* tr|Q1EMR8|Q1EMR8_PLAMJ)
Solyc10g162890	Transcription factor, MADS-box (AHRD V3.11 *-* tr|A0A2U1PJ37|A0A2U1PJ37_ARTAN)
Solyc10g018710	TCP transcription factor.1
Solyc10g019150	Transcription factor MYB1.1
Solyc10g044830	Basic-leucine zipper (BZIP) transcription factor family protein (AHRD V3.3 *** F4I9R1_ARATH)
Solyc10g047640	GATA transcription factor 28 (AHRD V3.3 *** A0A2G3AWS2_CAPCH)
Solyc10g054010	BZIP transcription factor (AHRD V3.3 *** Q8GTZ1_CAPCH)
Solyc10g080780	BZIP transcription factor (AHRD V3.3 *** E9N3N2_9POAL)
Solyc10g084340	AP2-like ethylene-responsive transcription factor (AHRD V3.3 *** A0A220QTH6_9SOLA)
Solyc11g005380	Trihelix transcription factor GT.1
Solyc11g016910	Nuclear transcription factor Y subunit C (AHRD V3.3 *-* A0A0D3GXF4_9ORYZ)
Solyc11g016920	Nuclear transcription factor Y subunit C (AHRD V3.3 *-* A0A0D3GXF4_9ORYZ)
Solyc11g020950	Basic-leucine zipper (BZIP) transcription factor family protein (AHRD V3.3 *** F4I9R1_ARATH)
Solyc11g050730	Transcription factor MYB1.1
Solyc11g045640	TCP transcription factor.1
Solyc11g045310	Transcription factor, MADS-box (AHRD V3.3 *-* A0A2U1Q810_ARTAN)
Solyc11g044367	MADS-box transcription factor (AHRD V3.11 *-* tr|A0A2K3L7S8|A0A2K3L7S8_TRIPR)
Solyc12g006120	Nuclear transcription factor Y subunit B (AHRD V3.3 *-* A0A2G2X323_CAPBA)
Solyc12g007070	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc12g160760	MYB transcription factor (AHRD V3.11 *** tr|E5GB86|E5GB86_CUCME)
Solyc12g019810	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc12g019840	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc12g019900	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc12g019910	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc12g077540	Trihelix transcription factor GT.1
Solyc12g161460	transcription factor bHLH95-like (AHRD V3.11 *-* tr|A0A2I4FIQ6|A0A2I4FIQ6_9ROSI)
Solyc12g161470	transcription factor bHLH95-like (AHRD V3.11 *-* tr|A0A2I4EEI6|A0A2I4EEI6_9ROSI)
Solyc12g160380	transcription factor bHLH95-like (AHRD V3.11 *-* tr|A0A2I4FIQ6|A0A2I4FIQ6_9ROSI)
Solyc12g036430	transcription factor bHLH95-like (AHRD V3.3 *-* A0A2I4FIQ6_9ROSI)
Solyc12g042012	MADS-box transcription factor (AHRD V3.11 *-* tr|A0A2K3LQ55|A0A2K3LQ55_TRIPR)
Solyc12g044610	Transcription factor MYB1.1
Solyc12g056510	Trihelix transcription factor GT.1
Solyc12g056980	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2ZQC4_CAPAN)
Solyc12g087820	MADS box transcription factor AGAMOUS (AHRD V3.3 *-* A0A1Q1NK16_PAELC)
Solyc12g088610	MYB-RELATED transcription factor (AHRD V3.3 *-* F1DJU8_MAIZE)
Solyc12g100040	Sequence-specific DNA binding transcription factor (AHRD V3.3 *** A0A2K3PC30_TRIPR)
